GEOID,expected_value,phi_proj_x,phi_proj_y,phi_total_pop,phi_sex_ratio,phi_pct_black,phi_pct_hisp,phi_pct_bach,phi_median_income,phi_pct_65_over,phi_pct_age_18_29,phi_gini,phi_pct_manuf,phi_ln_pop_den,phi_pct_3rd_party,phi_turn_out,phi_pct_fb,phi_pct_uninsured
21007,33.853302,0.4838877,-3.1076002,-0.7874664,0.11870682,-2.9344368,-1.9507198,-3.5924206,0.5021373,-0.2637019,-0.6546764,0.114920415,-0.14075473,-0.5328334,-1.3180484,-0.039756835,-0.25491416,-0.21859214
21017,33.853302,0.33462802,0.38577414,-0.1634524,1.6375277,-1.6104451,-0.12072117,-2.0113988,0.66964614,0.19901527,-0.43827796,0.2276436,-0.35813427,-0.3516767,0.7433998,-0.058528826,0.11164186,0.6770814
21031,33.853302,0.23287019,-2.7238295,-0.19082929,-0.11634352,-4.9063783,-1.3204509,-4.0989866,0.938707,-0.11609182,-0.57298,0.07615727,-0.51988107,-0.5794194,-0.7219687,-0.18269311,-0.57572746,-0.093586646
21065,33.853302,-0.31906962,-0.59086275,-0.18488485,0.031834144,-4.733445,-4.6051025,-4.029324,0.7323264,-0.055553325,-0.7020972,0.20527653,-0.4170419,-0.3112129,-0.90320367,0.19566251,0.1515691,0.290078
21069,33.853302,0.10081124,0.005222455,-0.20006283,0.29707044,-3.583653,-2.3970373,-4.1115108,0.5806085,-0.026457878,-0.51649565,0.1293549,-0.49861312,-0.4238332,-2.1855452,-0.0897312,0.04351823,-0.31329718
21093,33.853302,-0.0031162635,-0.74950844,2.8812425,0.22381869,-0.37602463,-0.4469075,-1.0304939,0.013528106,-0.3633591,0.06364851,-0.08042539,-0.21917255,-0.10005506,1.3009616,-0.12532069,-0.10598928,0.95297223
21099,33.853302,-0.42168632,-2.4953754,-0.3742737,0.38208932,-2.8835137,-1.9674942,-3.8994682,1.1352068,-0.2472667,-0.5012244,0.145267,-0.052144304,-0.41930053,-0.6475484,0.053172305,-0.09341325,0.2702433
21131,33.853302,-0.64738727,-3.1766727,-0.70643926,-0.1752322,-4.9305224,-3.5367525,-4.3234453,0.55412084,-0.47761366,-0.73529357,0.010630348,0.21359372,-0.8592225,-2.705765,-0.09786236,0.08222393,0.07634366
21151,33.853302,-0.24487302,-0.5259843,0.8918614,0.14848441,-1.6791624,-2.1529655,4.325389,0.4790346,-0.26013014,2.1324124,0.6157393,-0.28584304,-0.51164454,1.4720209,-0.77661544,-1.3288953,0.78627056
21155,33.853302,0.05911465,-0.3774723,-0.33913958,0.12740052,-1.4596484,-1.5044835,-3.8568933,1.0395087,-0.31126675,0.36557758,0.1365882,0.44600728,-0.3916793,-1.6393015,0.0026858882,-0.39256987,0.44681546
21179,33.853302,0.088290006,-0.11485957,0.9280533,-0.0208087,-1.6176834,-1.5995678,-1.9531226,-0.2501199,-0.35887152,0.090327375,0.7247164,-0.44299656,0.02883541,-0.50956184,0.095267095,0.010255916,0.4843901
17091,33.853302,1.0818837,2.8492424,3.4098227,0.6974981,0.7746073,0.90460575,-1.418815,-0.46131325,-0.46780995,0.5396144,-0.5626849,-0.21260902,0.10852256,1.3525138,-0.12194097,-0.06902754,1.0518577
17187,33.853302,3.4856305,2.1627536,-0.24027883,1.7326463,-2.6312573,0.5039771,-1.6080377,0.63149947,-0.0141592985,0.4513013,-0.44552872,-0.26998386,-0.18714572,1.7460567,-0.3543456,0.06665696,0.8610126
17197,33.853302,0.80292493,3.8219697,3.0885332,-0.05118885,1.1365795,2.0141885,7.5373454,-3.1908617,0.5252145,-0.12485005,-0.185379,0.25240162,3.228791,0.22402313,0.40336853,1.9502525,0.68697196
18027,33.853302,-0.013249474,0.047300614,0.2516845,-0.17758188,-3.6858158,-0.71330935,-3.9406915,-1.0346882,-1.4771117,-0.15602802,-0.4133968,-2.9031186,-0.59238803,1.4265636,0.025592161,-0.1629871,2.6717405
18061,33.853302,0.3099093,-0.6886303,0.24092805,0.031823754,-4.4467034,-1.6727457,-1.9090565,0.050421476,-0.1780412,-0.4557261,-0.25648704,-0.45333037,-0.1762574,0.36105683,-0.034297213,-0.59294885,0.26693425
01001,33.853302,0.0058156494,-6.4390154,1.5206801,-0.11303033,2.076891,-1.8634765,-0.30369127,-0.3610546,-0.6458311,-0.29531476,-0.021126812,-0.23889345,3.651774e-05,-0.41046074,0.12255463,-0.1597173,0.33289796
01005,33.853302,-0.23235202,-4.944505,-0.3303872,-0.5231282,25.42633,-0.6767045,-2.7977033,0.8679421,-0.084750056,-0.17290506,-0.007118665,-0.5528488,-0.9093146,-1.3027085,-0.2628771,-0.39781517,-0.24798298
01023,33.853302,0.115473956,-4.781111,-0.0173488,1.6243037,19.251688,-3.3657382,-2.7346525,0.7198653,0.049092196,-0.73108333,0.29330742,-0.31119964,-0.9867604,-1.7995293,0.7203642,-0.046515606,-0.2226653
01035,33.853302,-0.095415175,-4.7563634,-0.029826798,0.02577107,25.017776,-2.1701348,-2.2617505,0.88357425,-0.012074594,-0.5496982,0.05215795,-0.27968514,-1.0993598,-1.4839664,-0.090552315,-0.43675166,-0.38522124
01051,33.853302,-0.23432878,-6.3223276,2.1705866,0.15242836,2.8128438,-1.5840203,-0.42721155,-0.6759373,-0.7297612,-0.13696219,-0.26404107,-0.16788861,-0.35358137,-0.6255402,-0.120644934,-0.67912835,-0.056041505
01055,33.853302,-0.3617172,-6.3966856,3.2595813,0.7366208,0.066666454,-0.94438934,-2.126002,0.70850164,0.022904333,-0.3752299,0.008093752,-0.425855,-0.36265707,-0.6061486,-0.13834457,-0.23515515,-0.7527838
01065,33.853302,0.2405203,-4.5780644,-0.10820336,1.0756,35.68117,-4.4320817,-1.5007852,0.73891133,-0.12410828,0.042626828,0.33234915,-0.2438358,-0.9454916,-1.6033398,0.34640986,-0.2765436,-0.039548133
01089,33.853302,-0.66753316,-4.869751,2.3262367,-0.23141049,4.5785184,-0.7897126,10.498998,-1.3986024,-0.65079194,0.6223515,0.3619622,-0.47778523,3.069204,0.5701879,0.5818164,-0.04157579,-0.40416062
01113,33.853302,-0.24465653,-5.221555,0.39217597,1.4458811,19.910889,0.41786984,-1.0330884,0.9799197,-0.16890891,0.6728524,0.14974768,-0.3774878,-0.069993824,-0.71855783,0.14178537,-0.37559026,-0.3125672
